ERR770581	k99_95562_4	 adeF	1058	1048	1048	1048	2124.0	822.772	0.0	459	2	1038	4	1048
ERR770581	k99_95562_4	 adeF	1058	1035	1035	1035	2102.0	814.298	0.0	456	1	1019	3	1026
ERR770581	k99_95562_4	 adeF	1058	1041	1041	1041	2084.0	807.364	0.0	425	2	1034	3	1029
ERR770581	k99_95562_4	 adeF	1058	1056	1056	1056	2080.0	805.823	0.0	449	2	1041	4	1049
ERR770581	k99_95562_4	 adeF	1058	1065	1065	1065	2078.0	805.053	0.0	465	1	1056	3	1059
ERR770581	k99_95562_4	 adeF	1058	1051	1051	1051	2055.0	796.193	0.0	454	2	1042	4	1047
ERR770581	k99_95562_4	 adeF	1058	1036	1036	1036	2005.0	776.933	0.0	449	3	1035	5	1036
ERR770581	k99_95562_4	 adeF	1058	1057	1057	1057	1986.0	769.615	0.0	444	1	1047	1	1047
ERR770581	k99_95562_4	 adeF	1058	1036	1036	1036	1903.0	737.643	0.0	414	1	1031	1	1028
ERR770581	k99_95562_4	 adeF	1058	262	262	262	99.0	42.743	7.36015e-05	63	790	1037	254	504
ERR770581	k99_95562_4	 adeF	1058	1027	1027	1027	1899.0	736.102	0.0	422	1	1019	1	1018
ERR770581	k99_95562_4	 adeF	1058	1059	1059	1059	1890.0	732.635	0.0	418	1	1053	1	1045
ERR770581	k99_95562_4	 adeF	1058	1049	1049	1049	1889.0	732.25	0.0	426	1	1028	1	1038
ERR770581	k99_95562_4	 adeF	1058	1026	1026	1026	1871.0	725.317	0.0	412	1	1017	1	1018
ERR770581	k99_95562_4	 adeF	1058	297	297	297	119.0	50.447	4.0401e-07	74	763	1040	227	507
ERR770581	k99_95562_4	 adeF	1058	1034	1034	1034	1866.0	723.391	0.0	402	1	1032	1	1025
ERR770581	k99_95562_4	 adeF	1058	1045	1045	1045	1850.0	717.227	0.0	417	1	1037	1	1035
ERR770581	k99_95562_4	 adeF	1058	1021	1021	1021	1835.0	711.449	0.0	395	1	1018	1	1008
ERR770581	k99_95562_4	 adeF	1058	1053	1053	1053	1832.0	710.294	0.0	419	1	1041	1	1041
ERR770581	k99_95562_4	 adeF	1058	1033	1033	1033	1826.0	707.983	0.0	397	1	1032	1	1025
ERR770581	k99_95562_4	 adeF	1058	1075	1075	1075	1767.0	685.256	0.0	420	1	1055	1	1064
ERR770581	k99_95562_4	 adeF	1058	1056	1056	1056	1730.0	671.003	0.0	412	1	1045	1	1040
ERR770581	k99_95562_4	 adeF	1058	1040	1040	1040	1722.0	667.922	0.0	389	1	1038	1	1032
ERR770581	k99_95562_4	 adeF	1058	1030	1030	1030	1318.0	512.301	5.27982e-166	343	5	1031	7	1004
ERR770581	k99_95562_4	 adeF	1058	155	155	155	103.0	44.2838	2.79064e-05	41	348	499	853	1005
ERR770581	k99_95562_4	 adeF	1058	1048	1048	1048	1298.0	504.597	5.54863e-163	343	2	1043	4	1013
ERR770581	k99_95562_4	 adeF	1058	1056	1056	1056	1041.0	405.601	1.84124e-125	305	2	1038	4	1022
ERR770581	k99_95562_4	 adeF	1058	1045	1045	1045	1022.0	398.282	5.01386e-123	303	1	1030	3	996
ERR770581	k99_95562_4	 adeF	1058	1052	1052	1052	973.0	379.407	6.56399e-116	296	4	1042	6	1025
ERR770581	k99_95562_4	 adeF	1058	1029	1029	1029	965.0	376.326	8.43215e-115	296	30	1045	41	1030
ERR770581	k99_95562_4	 adeF	1058	1049	1049	1049	928.0	362.073	1.65458e-109	300	1	1034	3	1018
ERR770581	k99_95562_4	 adeF	1058	1049	1049	1049	900.0	351.288	1.34811e-105	276	2	1038	13	1031
ERR770581	k99_95562_4	 adeF	1058	82	82	82	59.0	27.335	4.23815	23	527	607	11	91
ERR770581	k99_95562_4	 adeF	1058	1067	1067	1067	477.0	188.348	7.68272e-50	254	7	1026	12	1012
ERR770581	k99_95562_4	 adeF	1058	152	152	152	118.0	50.0618	4.42034e-07	39	349	500	873	1019
ERR770581	k99_95562_4	 adeF	1058	1056	1056	1056	464.0	183.341	2.22329e-48	247	13	1037	22	1015
ERR770581	k99_95562_4	 adeF	1058	66	66	66	58.0	26.9498	4.42009	22	905	970	119	173
ERR770581	k99_313067_1	 adeF	712	712	712	712	2533.0	980.319	0.0	511	1	712	79	790
ERR770581	k99_313067_1	 adeF	712	139	139	139	98.0	42.3578	6.65898e-05	32	285	422	899	1036
ERR770581	k99_313067_1	 adeF	712	715	715	715	1963.0	760.755	0.0	417	1	712	79	791
ERR770581	k99_313067_1	 adeF	712	145	145	145	98.0	42.3578	6.61213e-05	32	272	416	886	1030
ERR770581	k99_313067_1	 adeF	712	715	715	715	1927.0	746.888	0.0	398	1	712	79	793
ERR770581	k99_313067_1	 adeF	712	105	105	105	109.0	46.595	3.54108e-06	27	294	398	910	1014
ERR770581	k99_313067_1	 adeF	712	720	720	720	1907.0	739.184	0.0	404	1	712	79	796
