ERR770579_1	k99_35809_2 # 553 # 888 # 1 # ID=31571_2;partial=01;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.574	k99_35809_2 	500	22.3274	OXA-42	100.0	3001769	41.64	cephalosporin; penam
ERR770579_1	k99_8833_2 # 987 # 1358 # 1 # ID=8122_2;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.659	k99_8833_2 	200	206.453	Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin	82.79	3003395	99.19	aminoglycoside antibiotic
ERR770580_1	k99_12215_1 # 2 # 400 # 1 # ID=11825_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.584	k99_12215_1 	500	22.7126	OXA-192	100.0	3001766	49.44	cephalosporin; penam
ERR770580_1	k99_29056_2 # 907 # 1209 # 1 # ID=27036_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.634	k99_29056_2 	300	21.557	dfrA19	100.0	3003015	52.91	diaminopyrimidine antibiotic
ERR770580_1	k99_71593_1 # 1 # 345 # -1 # ID=66024_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.626	k99_71593_1 	500	21.9422	OXA-361	100.0	3001548	41.67	cephalosporin; penam
ERR770580_1	k99_73620_1 # 3 # 323 # 1 # ID=68014_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.386	k99_73620_1 	450	21.557	baeR	100.0	3000828	44.58	aminoglycoside antibiotic; aminocoumarin antibiotic
ERR770580_1	k99_78466_1 # 1 # 681 # 1 # ID=72768_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.609	k99_78466_1 	500	450.66900000000004	sul1	100.0	3000410	81.0	sulfonamide antibiotic; sulfone antibiotic
ERR770580_1	k99_65292_3 # 666 # 1037 # -1 # ID=59842_3;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.656	k99_65292_3 	200	206.453	Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin	82.79	3003395	99.19	aminoglycoside antibiotic
ERR770581_1	k99_2289_1 # 2 # 436 # 1 # ID=2191_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.685	k99_2289_1 	525	24.2534	myrA	100.0	3001300	48.81	macrolide antibiotic; lincosamide antibiotic
ERR770581_1	k99_4998_2 # 495 # 725 # 1 # ID=4785_2;partial=01;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.654	k99_4998_2 	300	21.557	dfrA19	100.0	3003015	40.74	diaminopyrimidine antibiotic
ERR770581_1	k99_26822_1 # 2 # 301 # -1 # ID=25647_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.573	k99_26822_1 	375	21.9422	fusB	100.0	3003552	46.95	fusidic acid
ERR770581_1	k99_35483_1 # 3 # 485 # 1 # ID=33942_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.482	k99_35483_1 	450	22.7126	ANT(4')-Ib	100.0	3003905	63.64	aminoglycoside antibiotic
ERR770581_1	k99_38581_4 # 2446 # 4356 # 1 # ID=36888_4;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.718	k99_38581_4 	1650	25.7942	Listeria monocytogenes mprF	100.0	3003770	73.53	peptide antibiotic
ERR770581_1	k99_60125_2 # 111 # 680 # -1 # ID=57499_2;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.718	k99_60125_2 	760	23.0978	macA	100.0	3000533	48.21	macrolide antibiotic
ERR770581_1	k99_70200_1 # 1 # 402 # -1 # ID=67137_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.622	k99_70200_1 	500	22.3274	OXA-55	100.0	3001813	46.37	cephalosporin; penam
ERR770581_1	k99_95562_4 # 2758 # 5931 # -1 # ID=91386_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.609	k99_95562_4	750	805.053	adeF	43.66	3000777	99.81	fluoroquinolone antibiotic; tetracycline antibiotic
